ID	HR	lower	upper	pvalue	symbol	as_id	splice_type	exons	from_exon	to_exon	novel_splice
TCEAL3_AA_89759	1.510101896	1.119040473	2.037824184	0.007028585	TCEAL3	89759	AA	4.1	3	4.2	0
LONRF3_AA_89947	0.661192929	0.489315042	0.893445024	0.007070119	LONRF3	89947	AA	11.1	10	11.2	0
BTN3A1_AA_75658	0.663835346	0.492347862	0.895052868	0.007207358	BTN3A1	75658	AA	10.1	9	10.2	0
ZNF277_AA_81444	1.506040986	1.116288021	2.03187655	0.007363655	ZNF277	81444	AA	2.1	1	2.2	0
APOC2_AA_50378	1.588859013	1.132018088	2.230064156	0.007431474	APOC2	50378	AA	4.1	3.2	4.2	0
ACADM_AA_3494	0.629682879	0.448739578	0.883587157	0.007450566	ACADM	3494	AA	4.1	3	4.2	0
SPAG5_AA_39930	0.669374012	0.498763188	0.898345304	0.007492816	SPAG5	39930	AA	3.1	2	3.2	0
PDAP1_AA_80614	0.667484285	0.495700767	0.898798833	0.007749642	PDAP1	80614	AA	3.1	2	3.2	0
KHNYN_AA_27002	0.668298519	0.495200335	0.901903489	0.008413346	KHNYN	27002	AA	7.1	6	7.2	0
TYROBP_AA_49314	1.492925111	1.107885187	2.011783724	0.008459428	TYROBP	49314	AA	4.2	3	4.3	0
CAMTA2_AA_38638	0.667542053	0.493942622	0.902154161	0.00853734	CAMTA2	38638	AA	7.1:7.2	6	7.3	0
ACAD8_AA_19553	0.670346608	0.496481091	0.90509907	0.009031617	ACAD8	19553	AA	9.1	8	9.2	0
PKMYT1_AA_33330	0.672609012	0.498562247	0.907415043	0.009434445	PKMYT1	33330	AA	9.1:9.2	8	9.3	0
STRADB_AA_56840	0.674540596	0.500598777	0.908921549	0.009665492	STRADB	56840	AA	12.1	11	12.2	0
TPRKB_AA_53981	0.676000601	0.502248963	0.909861138	0.009790532	TPRKB	53981	AA	2.1	1	2.2	0
TM9SF1_AA_26896	1.479963071	1.098951272	1.99307353	0.009844084	TM9SF1	26896	AA	9.1	8	9.2	0
APH1A_AA_7446	0.675852712	0.501933434	0.910034792	0.009850727	APH1A	7446	AA	2.1	1	2.2	0
TCP1_AA_78326	0.675290434	0.500967165	0.910273572	0.00996542	TCP1	78326	AA	3.1	2	3.2	0
REXO2_AA_18835	0.677785032	0.503980693	0.911528073	0.010090056	REXO2	18835	AA	5.2	4	5.3	0
RAP1GDS1_AA_70002	1.476809715	1.09550627	1.990830169	0.010510663	RAP1GDS1	70002	AA	2.1	1	2.2	0
HDAC5_AA_41775	0.677973857	0.502794559	0.914187599	0.010827282	HDAC5	41775	AA	4.1	3	4.2	0
TMEM143_AA_50750	0.639408152	0.453135747	0.902252335	0.010914506	TMEM143	50750	AA	3.1	2	3.2	0
FAM3A_AA_90636	0.679758981	0.504791907	0.915371792	0.011011375	FAM3A	90636	AA	5.2	4	5.3	0
TNFRSF12A_AA_33350	0.679080993	0.503875481	0.915208246	0.011024778	TNFRSF12A	33350	AA	3.1	2.1	3.2	0
CYB561A3_AA_16164	0.678964025	0.503441942	0.915680855	0.011174634	CYB561A3	16164	AA	6.6	6.4	6.7	0
ATAD3A_AA_176	0.677723388	0.501768667	0.915379977	0.011198219	ATAD3A	176	AA	4.1	3	4.2	0
TSNARE1_AA_85344	0.680749871	0.505408189	0.916922987	0.011382458	TSNARE1	85344	AA	10.1	9	10.2	0
TTC13_AA_10257	0.681386532	0.506202633	0.917197137	0.011406829	TTC13	10257	AA	20.1	19	20.2	0
USP19_AA_64840	0.678870741	0.502370061	0.917382462	0.011692815	USP19	64840	AA	4.1	3.2	4.2	0
SEPT2_AA_58355	0.681906558	0.50631525	0.91839334	0.011723229	42615	58355	AA	12.1	10	12.2	0
FAM63A_AA_7539	0.681520822	0.505657232	0.918548379	0.011806357	FAM63A	7539	AA	4.1	2.2	4.2	1
DPM3_AA_7947	1.464181927	1.08811739	1.970218228	0.011817535	DPM3	7947	AA	2.2	1	2.3	0
PROM2_AA_54497	1.460915927	1.085572159	1.96603729	0.01235338	PROM2	54497	AA	24.2	23	24.3	0
PPT1_AA_1993	0.649275015	0.461646221	0.913162561	0.013064568	PPT1	1993	AA	5.1	4	5.2	0
KBTBD4_AA_15778	1.545606613	1.09462672	2.18238762	0.013375824	KBTBD4	15778	AA	2.3	1.1	2.4	0
HMHA1_AA_46381	0.685734462	0.508507117	0.924729934	0.013402102	HMHA1	46381	AA	4.1	2	4.2	0
RBMX_AA_90221	1.463510775	1.079710241	1.98373944	0.01412045	RBMX	90221	AA	8.3	8.1	8.4	0
TMEM208_AA_36989	0.68966027	0.51231565	0.928394999	0.014291739	TMEM208	36989	AA	2.2	1	2.3	0
PCNP_AA_65963	1.452917832	1.077328431	1.9594491	0.014362488	PCNP	65963	AA	2.2	1	2.3	0
SNRNP70_AA_50882	1.45035144	1.076941166	1.953235113	0.014364795	SNRNP70	50882	AA	11.1	10	11.2	0
SERPING1_AA_15867	0.691628949	0.51468099	0.929411835	0.0144653	SERPING1	15867	AA	7.1	6.2	7.2	0
SHC1_AA_7856	0.691154764	0.513976332	0.929410322	0.014509921	SHC1	7856	AA	11.1	10	11.2	0
ANKMY1_AA_58259	0.690845206	0.513522149	0.929399248	0.01453542	ANKMY1	58259	AA	10.1	9.3	10.2	0
STAT3_AA_41041	0.689504086	0.511124685	0.930136813	0.014927393	STAT3	41041	AA	2.2	1	2.3	0
BUB3_AA_13390	1.445572378	1.074404946	1.94496452	0.014933552	BUB3	13390	AA	8.1	7	8.2	0
SART1_AA_16956	0.692010724	0.513915395	0.93182428	0.015304569	SART1	16956	AA	4.1	3	4.2	0
SRSF7_AA_53281	0.691090256	0.512071133	0.932694135	0.015714564	SRSF7	53281	AA	4.3:4.4:4.5	4.1	4.6	0
TTC23_AA_32613	0.692527259	0.513721492	0.933568115	0.015905737	TTC23	32613	AA	14.1	13.1	14.2	0
NUPR1_AA_35751	1.441274181	1.069965581	1.941437466	0.016177108	NUPR1	35751	AA	3.1	1	3.2	0
RFX5_AA_7610	1.52475526	1.080833163	2.151005985	0.016273748	RFX5	7610	AA	6.1	5.2	6.2	0
RASSF7_AA_13691	1.438067926	1.068804075	1.934909688	0.01642052	RASSF7	13691	AA	6.3:6.4	6.1	6.5	0
SIRT6_AA_46771	0.692964585	0.513437409	0.935264763	0.016510943	SIRT6	46771	AA	8.1	7	8.2	0
SNAP23_AA_30178	0.681966127	0.498271873	0.933381601	0.016824677	SNAP23	30178	AA	5.1	4	5.2	0
TBL2_AA_79982	0.694641106	0.515014421	0.93691797	0.016995603	TBL2	79982	AA	4.1:4.2	1	4.3	0
EIF4G1_AA_67881	0.699532191	0.520514335	0.940118751	0.017817137	EIF4G1	67881	AA	9.1	8.2	9.2	0
TMEM25_AA_19023	0.698409008	0.518913145	0.939993807	0.017872843	TMEM25	19023	AA	2.2	1	2.3	0
PGBD2_AA_10573	1.431971639	1.063665433	1.927808041	0.017941708	PGBD2	10573	AA	4.1	2	4.2	0
CTSC_AA_18214	0.699314817	0.519822839	0.940784393	0.018112334	CTSC	18214	AA	4.1	3	4.2	0
LIMD2_AA_42955	1.428459634	1.061178717	1.922858887	0.01869581	LIMD2	42955	AA	6.1	5.3	6.2	0
CIAPIN1_AA_36554	0.700160816	0.519867659	0.942980697	0.018953597	CIAPIN1	36554	AA	3.1	2.2	3.2	0
FCGR2A_AA_8671	0.703146399	0.523634467	0.944198462	0.019193666	FCGR2A	8671	AA	3.1	2	3.2	0
EMB_AA_71968	1.426092603	1.058513497	1.921317127	0.019601954	EMB	71968	AA	4.1	3	4.2	0
LMBRD1_AA_76624	1.4397172	1.059778017	1.955867723	0.019733789	LMBRD1	76624	AA	12.1	11	12.2	0
HYAL1_AA_64996	0.695904282	0.512720121	0.944536305	0.02001499	HYAL1	64996	AA	4.3:4.4	4.1	4.5	0
MED11_AA_38579	0.699364775	0.51730249	0.945503063	0.020114896	MED11	38579	AA	3.1	2.1	3.2	0
CAP1_AA_1982	0.704556964	0.523564053	0.948118023	0.020796871	CAP1	1982	AA	2.1	1.2	2.2	0
EIF2B4_AA_52985	1.419619178	1.053352669	1.913242042	0.021371476	EIF2B4	52985	AA	6.1	5	6.2	0
BMP1_AA_82995	0.703915189	0.521868739	0.949465941	0.021470539	BMP1	82995	AA	5.1	4	5.2	0
CNKSR1_AA_1239	1.477610393	1.058178015	2.063294117	0.021910175	CNKSR1	1239	AA	6.1	5	6.2	0
FUK_AA_37389	0.691852006	0.504627382	0.948539886	0.022130994	FUK	37389	AA	14.1	13.2	14.2	0
NCKAP1L_AA_22189	0.70473337	0.522187441	0.95109358	0.022150103	NCKAP1L	22189	AA	15.1	14	15.2	0
INO80E_AA_36018	0.702434821	0.518836118	0.951002947	0.022314664	INO80E	36018	AA	6.1	5	6.2	0
DGKZ_AA_15545	0.708966192	0.527533838	0.952797766	0.022573928	DGKZ	15545	AA	35.1	34	35.2	0
TMEM132A_AA_16131	1.413721271	1.049870647	1.90367055	0.022576599	TMEM132A	16131	AA	6.1	5	6.2	0
CCDC24_AA_2526	0.709325479	0.527554961	0.953725529	0.022988767	CCDC24	2526	AA	6.1	5	6.2	0
TYMP_AA_62854	0.710372316	0.528640534	0.954578385	0.023310382	TYMP	62854	AA	2.2	1	2.3	0
SLC35B1_AA_42317	1.407469176	1.047001022	1.892041594	0.023560008	SLC35B1	42317	AA	3.1	2	3.2	0
CCDC106_AA_52132	0.710461412	0.528116106	0.955765999	0.023887708	CCDC106	52132	AA	1.4	1.1	1.5	0
FAM118B_AA_19371	0.709747136	0.526867349	0.95610593	0.024119189	FAM118B	19371	AA	8.1	7	8.2	0
TMEM175_AA_68428	0.709428435	0.526141115	0.956566005	0.024375929	TMEM175	68428	AA	7.1	6	7.2	0
EFCAB10_AA_81302	0.712397894	0.529779171	0.957966616	0.024823559	EFCAB10	81302	AA	5.1	4.1	5.2	0
KLC1_AA_29491	1.402935034	1.042575307	1.887850877	0.025402335	KLC1	29491	AA	13.1	12	13.2	0
EMC9_AA_26857	0.710052208	0.52584986	0.958779636	0.025438522	EMC9	26857	AA	3.2	2	3.3	0
GIGYF2_AA_58016	1.424168237	1.044128724	1.942533635	0.025573406	GIGYF2	58016	AA	17.1	16.2	17.2	0
PTPN6_AA_20029	1.436922184	1.044847601	1.976121074	0.025759232	PTPN6	20029	AA	4.1:4.2:4.3	3	4.4	0
UPP1_AA_79643	0.714245638	0.530804984	0.961081464	0.026278253	UPP1	79643	AA	2.1	1.2	2.2	0
CAV1_AA_81535	0.670138579	0.470260123	0.95497299	0.026766555	CAV1	81535	AA	2.3	1.1	2.4	0
PROM2_AA_54496	1.394958191	1.037779522	1.875069141	0.027405492	PROM2	54496	AA	24.1:24.2	23	24.3	0
DAZAP2_AA_21815	0.67168273	0.471507713	0.956840527	0.027500811	DAZAP2	21815	AA	4.1:4.2:4.3	3	4.4	0
FAM3A_AA_90635	0.715193712	0.530578991	0.964045043	0.027783746	FAM3A	90635	AA	5.1:5.2	4	5.3	0
ACP1_AA_52513	0.714588221	0.529717109	0.963979296	0.027796422	ACP1	52513	AA	4.1:4.2:4.3	3	4.4	0
DRAP1_AA_16952	0.717766493	0.534012231	0.964750821	0.027963371	DRAP1	16952	AA	5.1	4	5.2	0
SRRT_AA_81019	0.717493811	0.533291134	0.965321447	0.028299082	SRRT	81019	AA	11.1	10	11.2	0
FUBP1_AA_3544	0.713193929	0.527064554	0.965053666	0.028488497	FUBP1	3544	AA	21.1	20	21.2	0
OCIAD2_AA_69258	0.665806544	0.462545171	0.958389323	0.02862213	OCIAD2	69258	AA	4.1	3	4.2	0
FAM193A_AA_68586	0.71442138	0.528398704	0.965933307	0.028874864	FAM193A	68586	AA	10.1	9	10.2	0
HNRNPC_AA_26535	0.719668709	0.53572483	0.966770665	0.028935824	HNRNPC	26535	AA	8.1:8.2:8.3	7.2	8.4	0
SLC30A5_AA_72303	0.718914053	0.534384091	0.967164676	0.029215573	SLC30A5	72303	AA	4.1	3	4.2	0
PIDD_AA_13769	0.718723646	0.533589816	0.96809134	0.029753371	PIDD	13769	AA	3.1	2.2	3.2	0
PGS1_AA_43874	1.407704211	1.033900613	1.916655353	0.029879211	PGS1	43874	AA	7.1	6	7.2	0
RPS25_AA_19055	0.720434384	0.535720581	0.968836591	0.030050419	RPS25	19055	AA	3.1	2.1	3.2	0
ALS2CL_AA_64468	0.721339759	0.53673013	0.969446318	0.030334272	ALS2CL	64468	AA	12.1	11	12.2	0
MKNK2_AA_46570	0.717571139	0.531340205	0.96907468	0.03039726	MKNK2	46570	AA	14.1	13.1	14.2	0
CCDC106_AA_52131	0.719997597	0.534604218	0.969682845	0.030569151	CCDC106	52131	AA	1.3:1.4	1.1	1.5	0
ENTPD6_AA_58865	1.386031485	1.030880056	1.863537147	0.030670541	ENTPD6	58865	AA	3.1	2	3.2	0
IP6K2_AA_64754	1.387126014	1.030809952	1.866608462	0.030750174	IP6K2	64754	AA	11.4:11.5:11.6:11.7:11.8	11.2	11.9	0
CTNND1_AA_15934	0.72120259	0.535823901	0.970716639	0.031082007	CTNND1	15934	AA	22.1	20	22.2	0
UCHL5_AA_9244	0.72091171	0.535224721	0.971019599	0.031279662	UCHL5	9244	AA	13.1	12	13.2	0
ELF1_AA_25724	1.409739951	1.031156715	1.927317836	0.031377272	ELF1	25724	AA	5.1	4	5.2	0
WDR26_AA_9962	0.721220755	0.535093162	0.972091244	0.031887575	WDR26	9962	AA	4.1	3.1	4.2	1
CCL14_AA_40383	0.721587478	0.535475162	0.972385884	0.032036589	CCL14	40383	AA	5.4:5.5	5.2	5.6	0
C16orf93_AA_36186	0.722077679	0.536159517	0.972464645	0.0320497	C16orf93	36186	AA	2.1	1	2.2	0
ZDHHC4_AA_78752	0.722909482	0.537011772	0.973159522	0.032407265	ZDHHC4	78752	AA	2.1	1.1	2.2	0
MCCC1_AA_67779	0.670539137	0.464770008	0.967409098	0.032586808	MCCC1	67779	AA	10.1	9	10.2	0
FOXP4_AA_76112	1.385204707	1.027001941	1.868343188	0.032802137	FOXP4	76112	AA	11.1	10	11.2	0
TRPT1_AA_16579	0.723761574	0.537426554	0.974702148	0.033280981	TRPT1	16579	AA	7.1	6	7.2	0
NOD1_AA_79119	0.723931971	0.537497778	0.975031934	0.033470616	NOD1	79119	AA	8.1	7	8.2	0
ZNF276_AA_38140	0.724029666	0.537626666	0.975061302	0.033482241	ZNF276	38140	AA	6.1	5	6.2	0
INCA1_AA_38643	0.72666769	0.540915702	0.976207439	0.034019556	INCA1	38643	AA	7.1	6	7.2	0
FBXL5_AA_68814	0.72657392	0.540763178	0.976230785	0.034039935	FBXL5	68814	AA	2.1	1	2.2	0
LTC4S_AA_74924	0.725573647	0.539085483	0.976574467	0.034315324	LTC4S	74924	AA	2.1	1	2.2	0
ECM2_AA_86879	0.724014032	0.536505391	0.977056946	0.034709049	ECM2	86879	AA	4.1	3.1	4.2	0
POLR2G_AA_16422	0.725069443	0.537454051	0.978177942	0.035344621	POLR2G	16422	AA	2.4	2.1	2.5	0
NAA10_AA_90536	0.725845054	0.538081824	0.979128115	0.035898259	NAA10	90536	AA	8.2	7	8.3	0
IL32_AA_33418	1.373992023	1.020900397	1.849204962	0.036042101	IL32	33418	AA	1.3:1.4:1.5:1.6:1.7	1.1	1.8	0
IFT20_AA_39881	1.453025545	1.024487803	2.06081832	0.036113046	IFT20	39881	AA	7.1	6.1	7.2	0
SLC38A7_AA_36681	1.485080512	1.025706291	2.1501907	0.036225899	SLC38A7	36681	AA	7.1	6	7.2	0
TARBP2_AA_22085	0.721147678	0.530877152	0.979612651	0.036459831	TARBP2	22085	AA	3.1:3.2	1.2	3.3	0
OGT_AA_89426	0.729752313	0.543033349	0.980673543	0.03667259	OGT	89426	AA	2.1	1	2.2	0
BRPF3_AA_75960	0.729527203	0.542307102	0.981381101	0.037144304	BRPF3	75960	AA	11.1	10	11.2	0
FBXO7_AA_61933	0.729767062	0.542535318	0.98161345	0.037283323	FBXO7	61933	AA	3.1	2	3.2	0
AKAP10_AA_39784	0.715313637	0.521733203	0.980718874	0.037444151	AKAP10	39784	AA	4.1	2	4.2	0
IPO4_AA_26885	0.730297163	0.543132563	0.981959069	0.037482191	IPO4	26885	AA	25.1	24	25.2	0
STAP2_AA_46789	0.730163325	0.542636363	0.982496784	0.037842065	STAP2	46789	AA	14.1	13	14.2	0
SH3BP1_AA_62139	0.730799487	0.543374361	0.982872818	0.038058647	SH3BP1	62139	AA	17.1	15	17.2	0
EIF1AD_AA_16974	0.731576536	0.54446337	0.982994002	0.038100871	EIF1AD	16974	AA	2.2:2.3	1.1	2.4	0
YIPF3_AA_76293	0.731093528	0.543235123	0.983916034	0.038737119	YIPF3	76293	AA	2.1	1	2.2	0
P4HA2_AA_73259	1.367393017	1.016249808	1.839866192	0.038789381	P4HA2	73259	AA	2.1	1	2.2	0
MZB1_AA_73602	0.729460643	0.540649493	0.984210355	0.039007679	MZB1	73602	AA	2.1:2.2	1	2.3	0
TCTN1_AA_24462	0.732513784	0.544702775	0.985081163	0.039454778	TCTN1	24462	AA	17.1	16.2	17.2	0
CBLL1_AA_81371	0.733077589	0.54539409	0.985347589	0.039610517	CBLL1	81371	AA	4.1	2	4.2	0
ATF7IP_AA_20549	0.733776281	0.545698354	0.986676294	0.040487686	ATF7IP	20549	AA	4.1	3.2	4.2	0
RNF44_AA_74659	1.362811363	1.012664887	1.834027067	0.041049735	RNF44	74659	AA	4.1	3	4.2	0
C2CD5_AA_20732	0.734067039	0.545636032	0.987571175	0.041092428	C2CD5	20732	AA	27.1	26	27.2	0
FAM129C_AA_48336	1.368665291	1.012484737	1.850146093	0.041286594	FAM129C	48336	AA	14.1	13	14.2	0
PSME2_AA_26864	0.733522462	0.544502944	0.98815848	0.041518426	PSME2	26864	AA	3.1	2	3.2	0
CD276_AA_31614	0.706149109	0.505239891	0.986950106	0.041663647	CD276	31614	AA	4.1	3	4.2	0
BCL2L1_AA_58902	0.735617915	0.547295997	0.988740498	0.041849625	BCL2L1	58902	AA	2.2	1	2.3	0
AKR1B1_AA_81849	0.734198036	0.54514899	0.988806301	0.04194449	AKR1B1	81849	AA	3.1	2	3.2	0
MMP19_AA_22277	1.388390559	1.011655687	1.905419372	0.042182729	MMP19	22277	AA	4.1	3.2	4.2	0
AKT1_AA_29566	1.425489048	1.012205042	2.007517196	0.042416711	AKT1	29566	AA	12.1	11	12.2	0
SYT15_AA_11437	1.359815483	1.009925392	1.830925493	0.042863542	SYT15	11437	AA	8.1	7	8.2	0
RNF123_AA_64909	0.722361669	0.526748231	0.990618193	0.043542858	RNF123	64909	AA	4.1	3	4.2	0
MYO19_AA_40482	0.735946592	0.546367542	0.991305934	0.043651566	MYO19	40482	AA	21.1	20	21.2	0
IGSF9_AA_8424	1.356592357	1.008562259	1.824719107	0.043765279	IGSF9	8424	AA	9.1	8	9.2	0
SZRD1_AA_809	0.737842765	0.548885393	0.991849943	0.043990659	SZRD1	809	AA	4.1	1	4.2	0
COL21A1_AA_76551	0.724633632	0.529453658	0.991765554	0.044261585	COL21A1	76551	AA	31.1	30	31.2	0
NBN_AA_84396	0.738489029	0.549262269	0.992906444	0.044739385	NBN	84396	AA	8.1	7	8.2	0
PON3_AA_80527	0.739263474	0.550063845	0.993540093	0.045184569	PON3	80527	AA	8.1	7	8.2	0
RAB34_AA_39962	1.3516895	1.005838923	1.816458343	0.045654374	RAB34	39962	AA	4.1	3	4.2	0
CTDSP2_AA_22767	0.739867739	0.550241595	0.994843495	0.046132066	CTDSP2	22767	AA	5.1	4	5.2	0
ATAD2_AA_85058	1.42568817	1.006022254	2.020419279	0.046182991	ATAD2	85058	AA	9.1	8	9.2	0
VEZT_AA_23766	0.740029114	0.550210293	0.995334142	0.046492913	VEZT	23766	AA	6.1	4	6.2	0
WRAP53_AA_39045	0.740017427	0.549640476	0.996334543	0.047237541	WRAP53	39045	AA	6.1	5	6.2	0
EIF3B_AA_78612	1.348312456	1.00319517	1.812156331	0.047578816	EIF3B	78612	AA	19.1	18	19.2	0
AMPD3_AA_14351	0.740902344	0.550672869	0.99684643	0.047610673	AMPD3	14351	AA	14.1	13	14.2	0
DPP4_AA_55760	0.741440995	0.550753633	0.99815002	0.048590085	DPP4	55760	AA	3.1	2	3.2	0
DNASE1_AA_33615	0.742665527	0.552564993	0.998166896	0.048595181	DNASE1	33615	AA	4.1:4.2	3.2	4.3	0
ELP4_AA_14827	1.347268232	1.001813492	1.811845922	0.048615277	ELP4	14827	AA	5.1	4.1	5.2	0
NME6_AA_64589	0.739302494	0.547524458	0.998253447	0.048681209	NME6	64589	AA	5.1	4	5.2	0
IL16_AA_32202	0.742868191	0.552775516	0.998331391	0.048719515	IL16	32202	AA	21.1	20	21.2	0
ATP5G1_AA_42238	0.74011666	0.548525811	0.998626973	0.048958465	ATP5G1	42238	AA	4.1	3	4.2	0
OSGEPL1_AA_56530	0.741933954	0.551056029	0.998929261	0.049180476	OSGEPL1	56530	AA	9.1	8	9.2	0
DDX56_AA_79533	0.742643671	0.551789241	0.999511372	0.049624242	DDX56	79533	AA	11.1	10	11.2	0
TMEM134_AA_17236	1.345838783	1.000192394	1.810933618	0.049851703	TMEM134	17236	AA	3.1	2.1	3.2	0
ZNF707_AD_85481	1.852655252	1.363431444	2.517421393	8.09E-05	ZNF707	85481	AD	7.2	7.1	8.2	0
ZHX1_AD_85052	1.77172435	1.310286641	2.395664486	0.000202765	ZHX1	85052	AD	2.2	2.1	3	0
TXNRD1_AD_24112	1.757966991	1.302156947	2.373329842	0.000229516	TXNRD1	24112	AD	4.2	4.1	6.2	0
FIBP_AD_16938	1.755608782	1.298830355	2.373029074	0.00025172	FIBP	16938	AD	5.2	5.1	6	0
COX4I1_AD_37909	0.566416755	0.417357678	0.768712205	0.000264146	COX4I1	37909	AD	4.2	4.1	5.1	0
EMC10_AD_51202	0.580195294	0.428827555	0.784992884	0.000416434	EMC10	51202	AD	1.2	1.1	2	0
TAZ_AD_90600	0.585405944	0.430133913	0.7967289	0.000661556	TAZ	90600	AD	3.2:3.3	3.1	4	0
RASSF7_AD_13692	1.657032309	1.229622866	2.233006681	0.000906547	RASSF7	13692	AD	6.2:6.3	6.1	6.5	0
MYO6_AD_76808	0.600310414	0.442349857	0.814677765	0.001054433	MYO6	76808	AD	28.2	28.1	29	1
CCDC90B_AD_18069	0.608180522	0.451102722	0.819954145	0.001105661	CCDC90B	18069	AD	1.4:1.5	1.3	2	0
SUPT4H1_AD_42666	0.608697806	0.450771901	0.821952341	0.001197762	SUPT4H1	42666	AD	2.3:2.4	2.2	3.2	0
EEF1A1_AD_76759	0.608249834	0.450086285	0.82199319	0.001213236	EEF1A1	76759	AD	1.2	1.1	1.4	0
