Land.Use.and.Land.Cover.Change	Anthropogenic.biomes.of.the.world	Clinical.Antibiotic.Usage	Pesticides	Energy.Extraction.and.Production	Agricultural.Crops	Fungicides	Mining.and.sewage.treatment	Trends.in.Global.Freshwater.Availability	GDP	Veterinary.Antibiotics	PM2.5	Non-Conventional.Energy.Resources	LH.ARG
-8.70686250364375e-03	-5.88598743151319e-02	 3.84016940322981e-02	-7.96402302318876e-03	-2.51180198577319e-02	-6.46786945562957e-04	 8.93210080873084e-03	-1.50085967384515e-02	-2.22006100962742e-02	-3.26632230186410e-03	-5.64074890853394e-03	 1.02771675457630e-03	 6.82466562271872e-03	1.811752170e+04
-1.09247016885797e-02	-5.67381141792522e-02	 5.98139437799867e-02	-9.24429216793880e-03	-2.08920752910016e-02	-3.66011392694931e-04	 1.48892815863174e-02	 4.87375131014960e-03	-2.49932353084509e-02	-5.34905092622661e-03	-1.94428018967057e-02	 5.33091422202689e-04	 1.71870025292637e-02	1.850681344e+04
-3.31921288863760e-02	-2.63960176432082e-03	 3.53534906572614e-02	-1.96729434841005e-02	 1.98885957064579e-02	 6.77750092756363e-02	-5.74335193117807e-03	 3.23453193441032e-02	-1.74826889337385e-03	 1.19896959553327e-02	-2.24563959253508e-02	 5.82859576616408e-03	-3.29194593820393e-02	3.208517615e+04
-3.32073676533140e-02	-2.64522829569793e-03	 3.53677215224545e-02	-1.96863431381295e-02	 1.98915220503543e-02	 6.77598165935222e-02	-5.74168184641301e-03	 3.23127613234784e-02	-1.71719411806382e-03	 1.19341856087689e-02	-2.28176409475983e-02	 6.41274377015593e-03	-3.28307257046282e-02	2.294188860e+04
-8.04284479495635e-03	-4.18898486904601e-02	 4.82133733465811e-02	-5.19464321276442e-03	-1.15601964408940e-02	 2.57573832826013e-03	 8.40141546853843e-03	 1.04303423449563e-02	-1.04563134419146e-02	-1.21709294962442e-02	-1.80865882007031e-02	 4.69996507850131e-03	 1.92727271393236e-02	0.000000000e+00
-8.03416478960595e-03	-4.18866438168204e-02	 4.82052674423093e-02	-5.18701076657340e-03	-1.15618632870890e-02	 2.58439208368376e-03	 8.40046418785074e-03	 1.04488874014144e-02	-1.04740136414813e-02	-1.21393107893540e-02	-1.78808229482600e-02	 4.36723423349884e-03	 1.92221844151110e-02	5.208018810e+03
-5.11797855435853e-02	 1.00290874565994e-02	 2.55032287242250e-02	-4.23591090246283e-02	 7.36277533861678e-02	 2.07035494082576e-02	 1.32880614124224e-01	 6.00061147398899e-02	-4.96043656924830e-02	 2.90467897601027e-02	-1.08998285532275e-02	 4.84935254485329e-02	-1.31993017916592e-01	1.442862568e+04
-5.10514473119021e-02	 1.00764731204389e-02	 2.53833788648730e-02	-4.22462594804203e-02	 7.36031082293486e-02	 2.08314995216080e-02	 1.32866548962234e-01	 6.02803126990198e-02	-4.98660720188202e-02	 2.95142881966294e-02	-7.85748611514504e-03	 4.35739330577265e-02	-1.32740317438660e-01	9.143179534e+04
 1.02033901688818e-02	 6.29108311775727e-02	 1.96320435959373e-02	 1.79533048713186e-03	-3.41710619317405e-02	-2.10835477491112e-02	 1.18724123811549e-02	-2.55675303218810e-02	 6.50556959981869e-03	 8.21272851746649e-03	-4.20147924200351e-02	-1.89941979763123e-02	 1.76942268287183e-02	1.282089766e+04
-2.23924639709019e-02	-3.53966892157107e-02	 3.96403817503077e-02	-8.01389291503640e-03	-5.08609981728177e-04	 8.26735333755835e-03	 1.97931828249624e-03	 1.63588170664464e-02	 5.01813402149105e-03	-2.08489415138812e-03	-2.41752862760242e-02	-1.57638814100397e-03	-1.57455143540991e-02	5.370659822e+03
-2.23717673959988e-02	-3.53890475260276e-02	 3.96210540600420e-02	-7.99569413659086e-03	-5.12584404060697e-04	 8.28798732222603e-03	 1.97705005209580e-03	 1.64030358352812e-02	 4.97592972652227e-03	-2.00950261542977e-03	-2.36846603158124e-02	-2.36975042342706e-03	-1.58660282518743e-02	1.778864196e+04
-1.12913725441995e-02	-6.24114244069141e-02	 4.26152613085912e-02	-8.36824962965910e-03	-2.69963050708341e-02	-4.62477521979101e-04	 9.54165647972441e-03	-1.47501583589629e-02	-2.17676498806657e-02	-4.58102954098275e-03	-5.81177434717784e-03	 1.88033181368220e-03	 8.33835749109127e-03	0.000000000e+00
-1.12813382800056e-02	-6.24077195072615e-02	 4.26058907170180e-02	-8.35942636533727e-03	-2.69982319792181e-02	-4.52473603239038e-04	 9.54055677974046e-03	-1.47287198933764e-02	-2.17881116743592e-02	-4.54447766738412e-03	-5.57390549553623e-03	 1.49568813324114e-03	 8.27992906537517e-03	6.020576550e+03
 1.61574677494143e-02	 2.30746149350012e-02	 1.53843223957968e-02	 1.23264340365176e-02	 2.03352182110648e-02	-2.00785972622720e-02	-4.02146477942500e-03	-1.61462654902470e-02	-1.52553328644311e-03	-4.28067733021919e-03	-2.13515643119880e-02	-4.87196800522406e-03	 2.19800839744554e-02	9.151660040e+03
 3.81123668856825e-02	-1.06722611505810e-02	-2.40221880950810e-02	-1.22523958108860e-02	 3.41049909785077e-03	 1.45234781711132e-02	-2.50757530442545e-04	 9.14872680464411e-04	 6.44789030103243e-03	-5.43596621358074e-03	-1.95393143131473e-03	 2.17658573965273e-03	-2.99100023267498e-03	6.267418986e+04
 3.80590160095199e-02	-1.06919596196207e-02	-2.39723658798257e-02	-1.22993079584125e-02	 3.42074421882703e-03	 1.44702886377779e-02	-2.44910568818858e-04	 8.00887150433960e-04	 6.55668299378110e-03	-5.63030776610358e-03	-3.21864914270543e-03	 4.22168610429080e-03	-2.68034390107922e-03	3.066356828e+04
 1.26529903727731e-02	 5.71179918006213e-02	 1.63336747788760e-02	 4.57569235371531e-02	-6.02844477984829e-02	-2.29933942507591e-02	 9.61952191285170e-03	 1.34836988369210e-02	-1.65377865688951e-02	 2.52537223881833e-02	-2.90308217057928e-02	 1.61805381792573e-02	 7.35599077179294e-03	3.140438322e+04
 1.26504663981666e-02	 5.71170598864858e-02	 1.63360318161955e-02	 4.57547041721190e-02	-6.02839631124375e-02	-2.29959105924039e-02	 9.61979852654059e-03	 1.34783062997408e-02	-1.65326396994597e-02	 2.52445282909381e-02	-2.90906541887349e-02	 1.62772897559767e-02	 7.37068760057439e-03	2.988999392e+04
 3.81339545027037e-02	-1.05984121808246e-02	-2.39911975680974e-02	-1.23112550805096e-02	 3.56854359144124e-03	 1.43176947937417e-02	 8.59296412759758e-06	 1.11361812960628e-03	 5.79186703233724e-03	-4.69479612913508e-03	-2.54674714479140e-03	 3.08321967308375e-03	-3.32282440694569e-03	4.671165496e+04
 3.81187897551106e-02	-1.06040113824205e-02	-2.39770358265625e-02	-1.23245896483266e-02	 3.57145572119133e-03	 1.43025759071246e-02	 1.02549367808418e-05	 1.08121825323112e-03	 5.82279086797346e-03	-4.75003684499276e-03	-2.90623748964124e-03	 3.66453029182079e-03	-3.23452173610511e-03	3.761277915e+04
 3.81360193982686e-02	-1.05976497700774e-02	-2.39931258901553e-02	-1.23094393898905e-02	 3.56814706365411e-03	 1.43197534446840e-02	 8.36666296830679e-06	 1.11802983251272e-03	 5.78765631332169e-03	-4.68727432183315e-03	-2.49779743335302e-03	 3.00406598383757e-03	-3.33484806855105e-03	4.795059601e+04
-1.74937763743439e-02	 1.26925225743999e-02	-9.52495573581725e-03	-3.51762736276116e-03	 1.29915767582774e-02	-3.26291025151071e-02	-1.10783198140230e-02	 2.18472117893655e-02	 2.86471527360239e-02	 3.47918864305342e-03	 8.34661596315625e-03	 9.83029586319866e-03	-1.93464339155612e-02	1.525920424e+04
-1.75063842395954e-02	 1.26878674372931e-02	-9.51318176279848e-03	-3.52871362932749e-03	 1.29939978826160e-02	-3.26416722518638e-02	-1.10769380615649e-02	 2.18202747583988e-02	 2.86728625970274e-02	 3.43326189764131e-03	 8.04773820080807e-03	 1.03135934522618e-02	-1.92730196916514e-02	7.694462430e+03
-1.75049469579008e-02	 1.26883981174054e-02	-9.51452398176679e-03	-3.52744980807927e-03	 1.29937218773110e-02	-3.26402393167722e-02	-1.10770955797073e-02	 2.18233455480012e-02	 2.86699317033464e-02	 3.43849749218214e-03	 8.08180991146183e-03	 1.02584980999517e-02	-1.92813888261607e-02	8.556834030e+03
-1.74903274892579e-02	 1.26937959884648e-02	-9.52817650944830e-03	-3.51459471142354e-03	 1.29909144590336e-02	-3.26256640600816e-02	-1.10786977927966e-02	 2.18545804217635e-02	 2.86401197963146e-02	 3.49175191717957e-03	 8.42837405911757e-03	 9.69808967176443e-03	-1.93665163971622e-02	1.732854149e+04
-1.74746009136642e-02	 1.26996026309179e-02	-9.54286291932235e-03	-3.50076612064122e-03	 1.29878944398495e-02	-3.26099850445349e-02	-1.10804213386984e-02	 2.18881806582268e-02	 2.86080502853787e-02	 3.54903920722148e-03	 8.80118290731823e-03	 9.09524248734633e-03	-1.94580905311571e-02	2.676451511e+04
-5.78445754813691e-03	-2.21719538093425e-02	 3.90239506791265e-02	 6.49930998585412e-05	 2.25091813087713e-03	 2.82138882846643e-03	 1.86569035829953e-03	 2.56380232809776e-02	 4.92674780846369e-03	-1.32042524673803e-02	-8.81517617139776e-03	 4.37621245751476e-03	 1.10009855310152e-02	5.489324000e+04
-5.78507849961026e-03	-2.21721830800547e-02	 3.90245305604741e-02	 6.44470888232816e-05	 2.25103737396032e-03	 2.82076975486412e-03	 1.86575841115443e-03	 2.56366966020567e-02	 4.92801404789055e-03	-1.32065144109894e-02	-8.82989623567364e-03	 4.40001540464433e-03	 1.10046012637021e-02	5.452066800e+04
-5.76870420699020e-03	-2.21661372843824e-02	 3.90092392739902e-02	 7.88452259539961e-05	 2.24789297182751e-03	 2.83709452862237e-03	 1.86396387904086e-03	 2.56716807027392e-02	 4.89462371741948e-03	-1.31468676782994e-02	-8.44173282810385e-03	 3.77233926853091e-03	 1.09092555441243e-02	6.434527300e+04
-5.77600874844396e-03	-2.21688343025763e-02	 3.90160606884229e-02	 7.24222437850453e-05	 2.24929568376501e-03	 2.82981207744070e-03	 1.86476441647582e-03	 2.56560743605548e-02	 4.90951908167974e-03	-1.31734759747079e-02	-8.61489180157563e-03	 4.05234442430433e-03	 1.09517890921225e-02	5.996253500e+04
-4.02568329519117e-02	 4.27141374663266e-02	 1.78415204276029e-02	-3.68514900466294e-02	 2.69631302925654e-02	 1.45897051047331e-01	-3.70015201352609e-02	-1.02378569155678e-02	-1.86596519616003e-02	 2.94038152452284e-02	-1.63847480430626e-02	 5.13867286567493e-03	 1.24398782700270e-02	5.122950800e+04
-4.02639470938691e-02	 4.27115107483574e-02	 1.78481640356830e-02	-3.68577456079441e-02	 2.69644964415443e-02	 1.45889958419843e-01	-3.70007404645600e-02	-1.02530564642923e-02	-1.86451448585158e-02	 2.93779005181928e-02	-1.65533934708796e-02	 5.41137943316960e-03	 1.24813031425295e-02	4.696101004e+04
 3.81704619498610e-02	-1.01532389221103e-02	-2.39182107570610e-02	-1.22298564939289e-02	 3.93149267418841e-03	 1.45152071185166e-02	-2.24691607433950e-04	 1.73306502056759e-03	 6.45081807711434e-03	-5.24041411010401e-03	-3.29812114449004e-03	 3.78218434206960e-03	-2.65323387651586e-03	3.354800400e+04
 3.81839679499393e-02	-1.01482521713102e-02	-2.39308234616975e-02	-1.22179804852533e-02	 3.92889907845652e-03	 1.45286722739754e-02	-2.26171790512969e-04	 1.76192093987472e-03	 6.42327674654095e-03	-5.19121572364112e-03	-2.97795250364227e-03	 3.26445853001988e-03	-2.73187784153823e-03	4.165162832e+04
-6.07527160781789e-02	 5.40980164936515e-02	-1.72470348583585e-02	-1.65444855105045e-02	-5.54472912489745e-02	 1.25446184278661e-01	-5.94527460403018e-02	 2.02402457550538e-03	 2.85636968611708e-02	 1.82395577842735e-02	 7.83088831678905e-02	 4.22877432414155e-02	 4.81396321242393e-02	3.353416705e+04
-6.07535615290632e-02	 5.40977043321789e-02	-1.72462453261338e-02	-1.65452289269104e-02	-5.54471288946289e-02	 1.25445341384575e-01	-5.94526533835502e-02	 2.02221824777306e-03	 2.85654208980546e-02	 1.82364780553310e-02	 7.82888411969927e-02	 4.23201519296328e-02	 4.81445550925041e-02	3.302689500e+04
-6.07785918657554e-02	 5.40884625099663e-02	-1.72228705118423e-02	-1.65672384407554e-02	-5.54423222476544e-02	 1.25420386744208e-01	-5.94499101967726e-02	 1.96874028452434e-03	 2.86164625664398e-02	 1.81452998996412e-02	 7.76954805548860e-02	 4.32796404025187e-02	 4.82903040123856e-02	1.800864800e+04
-6.07328172161995e-02	 5.41053636479031e-02	-1.72656175969409e-02	-1.65269881718302e-02	-5.54511124842181e-02	 1.25466022962835e-01	-5.94549268457677e-02	 2.06653900999789e-03	 2.85231192562075e-02	 1.83120434866402e-02	 7.87805988170438e-02	 4.15249597068764e-02	 4.80237632217938e-02	4.547352000e+04
-6.07793960650132e-02	 5.40881655796192e-02	-1.72221195028353e-02	-1.65679455840478e-02	-5.54421678149763e-02	 1.25419584976996e-01	-5.94498220609717e-02	 1.96702209196132e-03	 2.86181024833270e-02	 1.81423704382425e-02	 7.76764164810038e-02	 4.33104677911896e-02	 4.82949867769299e-02	1.752612700e+04
-1.38341989707674e-03	-1.18907095167533e-02	 3.44841151471118e-02	 3.79820503876429e-03	 5.93732642666678e-03	 3.62829176258715e-06	-2.01739978246490e-03	 2.50870780233506e-02	 6.65510768291502e-03	-1.58791100776745e-02	-1.06757034244946e-02	 1.02844269679579e-02	 1.40876767564925e-02	0.000000000e+00
-1.29678026440009e-02	-9.15167927020171e-03	 3.43608487421491e-02	-4.68523771612477e-03	 1.42789912104167e-02	 1.08417030429367e-02	 5.51622187408182e-03	 3.59109926474179e-02	 1.04680463625236e-02	-5.45428620870696e-03	-1.21791421738962e-02	 4.51298335426047e-03	-1.20171578680838e-02	2.852907390e+04
-1.33330552385309e-03	-1.18722060450133e-02	 3.44373153704310e-02	 3.84227128544968e-03	 5.92770282058460e-03	 5.35911099371618e-05	-2.02289204122629e-03	 2.51941486809466e-02	 6.55291484184921e-03	-1.56965581535727e-02	-9.48770915017215e-03	 8.36339154501513e-03	 1.37958662284246e-02	3.006871400e+04
-1.37125093019364e-03	-1.18862164318289e-02	 3.44727510434439e-02	 3.80890537605444e-03	 5.93498958523434e-03	 1.57604574596495e-05	-2.01873343408382e-03	 2.51130773365741e-02	 6.63029282005978e-03	-1.58347821099489e-02	-1.03872300374876e-02	 9.81795368016962e-03	 1.40168181899021e-02	7.301402000e+03
-5.79328474502977e-03	-2.21752130297566e-02	 3.90321940395983e-02	 5.72312261524668e-05	 2.25261324268323e-03	 2.81258832663472e-03	 1.86665777036826e-03	 2.56191637459729e-02	 4.94474815988189e-03	-1.32364073497735e-02	-9.02443069644659e-03	 4.71458559930380e-03	 1.10523853355218e-02	4.959690600e+04
 1.21475239126712e-02	 4.81427180729207e-02	 1.73781905490440e-02	 3.95459230877024e-02	-5.66579550995806e-02	 2.03504367307758e-03	-3.05184490360664e-03	-3.39294908909682e-03	-2.57450491743467e-02	-2.00140824952250e-02	-1.54628580465687e-02	 1.97850793215522e-02	 8.41524217569456e-03	3.060690524e+04
 1.16856277170889e-02	 4.81294364691605e-02	 1.78881871134061e-02	 3.98296585399774e-02	-5.72287275423730e-02	 2.29270100398375e-03	-3.24119704291531e-03	-3.31311390759698e-03	-2.60830450091046e-02	-2.07293882688044e-02	-1.51327878049054e-02	 1.99982099514531e-02	 8.01867462367955e-03	3.142550711e+04
 1.39362263499712e-02	 5.03627862359448e-02	 1.50080886181011e-02	 3.99638480652595e-02	-5.71437262312347e-02	 2.04461871432531e-03	-3.91372858588724e-03	-5.28951192163753e-03	-2.74101768502044e-02	-2.06977011133319e-02	-1.59531390623624e-02	 2.13802675092470e-02	 7.92553114244090e-03	1.789475472e+04
 1.43548495200155e-02	 5.09753794404135e-02	 1.44360552832720e-02	 4.01649373594181e-02	-5.74729609232880e-02	 2.19798020242223e-03	-4.21584507858162e-03	-5.73214071018150e-03	-2.80483931289861e-02	-2.10186660468844e-02	-1.52913245163440e-02	 2.07996274180306e-02	 7.46368266574194e-03	3.178130350e+04
 1.40800591274133e-02	 5.06202351593087e-02	 1.48333372235960e-02	 4.00789342198461e-02	-5.79454062913236e-02	 2.65016957301077e-03	-4.24293813166915e-03	-5.50378668454332e-03	-2.81545683122622e-02	-2.15171683701262e-02	-1.52031051806179e-02	 2.14165726052625e-02	 7.13715382706004e-03	2.408771021e+04
-2.59084833177094e-02	 1.61544530990516e-02	 2.77412496449173e-02	 3.40638372854525e-02	-4.29677592666629e-02	-1.99962712317236e-03	 3.35578056621698e-02	 4.72730053326447e-02	-2.57818183205193e-02	 3.69317218334739e-02	-1.13974616451979e-02	 1.68395615164322e-03	 4.22275722446085e-03	1.042727739e+04
-2.58995745837774e-02	 1.61577424249664e-02	 2.77329301403181e-02	 3.40716708557807e-02	-4.29694700362593e-02	-1.99074533088451e-03	 3.35568293140916e-02	 4.72920390736473e-02	-2.57999849416350e-02	 3.69641737313223e-02	-1.11862742308527e-02	 1.34245744865644e-03	 4.17088263867085e-03	1.577253376e+04
-2.59008499359906e-02	 1.61572715332418e-02	 2.77341211399241e-02	 3.40705494213174e-02	-4.29692251267348e-02	-1.99201682619890e-03	 3.35569690856564e-02	 4.72893142505805e-02	-2.57973842532966e-02	 3.69595279982630e-02	-1.12165072963304e-02	 1.39134555441774e-03	 4.17830887547421e-03	1.500732014e+04
 1.21338518832403e-02	 4.81376700199585e-02	 1.73909583017461e-02	 3.95339010871696e-02	-5.66553296207584e-02	 2.02141299036933e-03	-3.05034652462677e-03	-3.42215973442023e-03	-2.57171692780054e-02	-2.00638856777941e-02	-1.57869625227401e-02	 2.03091695406022e-02	 8.49485291152468e-03	2.240366301e+04
 1.21370718853119e-02	 4.81388589247278e-02	 1.73879512726610e-02	 3.95367324785747e-02	-5.66559479669439e-02	 2.02462325456459e-03	-3.05069941908502e-03	-3.41528011651631e-03	-2.57237354812476e-02	-2.00521561571799e-02	-1.57106302496143e-02	 2.01857371270309e-02	 8.47610319074663e-03	2.433567004e+04
 1.21372343932085e-02	 4.81389189266808e-02	 1.73877995131401e-02	 3.95368753739678e-02	-5.66559791737989e-02	 2.02478527100749e-03	-3.05071722905375e-03	-3.41493291418232e-03	-2.57240668660895e-02	-2.00515641887028e-02	-1.57067778927307e-02	 2.01795077080891e-02	 8.47515692499367e-03	2.443317507e+04
 1.21403224196422e-02	 4.81400591027655e-02	 1.73849157307404e-02	 3.95395907174080e-02	-5.66565721763261e-02	 2.02786395868326e-03	-3.05105565971033e-03	-3.40833526565048e-03	-2.57303639456345e-02	-2.00403154165267e-02	-1.56335741891596e-02	 2.00611343196896e-02	 8.45717568395797e-03	2.628599648e+04
 1.21405757567166e-02	 4.81401526411078e-02	 1.73846791495412e-02	 3.95398134801266e-02	-5.66566208253674e-02	 2.02811652962001e-03	-3.05108342405573e-03	-3.40779400442310e-03	-2.57308805486313e-02	-2.00393925840653e-02	-1.56275686666992e-02	 2.00514231437782e-02	 8.45570052981088e-03	2.643799918e+04
 1.31987600946084e-02	-1.82712775416449e-02	 1.44082587166694e-02	-5.92002896215449e-03	 7.66354627249504e-03	 2.30755891442039e-03	 9.90015861638307e-03	-1.93560170261462e-02	 1.36837296374492e-02	-1.34898484657200e-02	-2.03575866199656e-02	-1.38549613570230e-02	 1.11343954126993e-02	3.482652419e+04
-1.69440635262845e-02	-3.14195605572655e-02	 3.90941013554479e-02	-5.47867601517130e-03	 5.05346452581126e-03	 1.37564869033852e-02	 1.19390591184600e-02	 2.91111083209677e-02	 6.00093127615750e-03	-1.08656213650224e-02	-3.44729837895195e-03	-2.06266280428422e-02	-1.36284949954998e-02	3.635814880e+05
-1.74500484030201e-02	-3.16063827454977e-02	 3.95666200703759e-02	-5.92359536590924e-03	 5.15063024542455e-03	 1.32520322176485e-02	 1.19945122687963e-02	 2.80300585142801e-02	 7.03273171111827e-03	-1.27087754717748e-02	-1.54420036459033e-02	-1.23069810983578e-03	-1.06822002585454e-02	5.998965260e+04
-1.74313087419184e-02	-3.15994635970119e-02	 3.95491198623874e-02	-5.90711732825685e-03	 5.14703161483306e-03	 1.32707152065806e-02	 1.19924585053498e-02	 2.80700962860452e-02	 6.99451793959128e-03	-1.26405123973100e-02	-1.49977676182045e-02	-1.94904597042931e-03	-1.07913192607422e-02	7.123348294e+04
-2.40579261857370e-02	 5.85895553998470e-02	 2.74471870159632e-02	 1.27880785062086e-03	-3.24735818559866e-02	 6.26948194738122e-02	 5.52225168892880e-02	-3.51454224797724e-03	 4.56766101526964e-02	 3.19880845573163e-02	-3.28553895342964e-02	-1.36608274512551e-02	-1.66305233512720e-02	7.412044530e+04
 1.35703511289162e-02	-1.81340768991974e-02	 1.40612449498892e-02	-5.59328393611559e-03	 7.59218858591099e-03	 2.67802618933907e-03	 9.85943428955726e-03	-1.85621031479351e-02	 1.29259840832740e-02	-1.21362516046133e-02	-1.15487760382760e-02	-2.80991690330823e-02	 8.97066135854382e-03	2.577818126e+05
 1.63722003315379e-02	 1.88546164224297e-02	 1.45138653968597e-02	 1.01790086621587e-02	 1.69823316903297e-02	-1.46864798815294e-02	-4.14300213146451e-03	-7.80694802121282e-03	 4.76935707958422e-04	-5.21772138882255e-03	-6.00568360987530e-03	-1.73323675816181e-02	 2.00438649040783e-02	2.716873255e+05
-4.73773873619743e-02	 8.39366973957305e-02	 2.24801004376136e-02	-1.04146274604955e-01	 1.53559026694481e-03	 1.80565428090728e-01	-8.74545460487161e-02	-4.17508106800657e-02	-4.56381758910393e-02	-3.35698410925419e-02	-2.61415729582185e-02	 2.52175392073514e-03	-2.05830228621041e-02	8.022338860e+04
-4.73759025047220e-02	 8.39372456419211e-02	 2.24787137897650e-02	-1.04144968949875e-01	 1.53530512556987e-03	 1.80566908457500e-01	-8.74547087808771e-02	-4.17476382440515e-02	-4.56412038004280e-02	-3.35644321942359e-02	-2.61063734375920e-02	 2.46483485348395e-03	-2.05916690238944e-02	8.111430562e+04
-4.73918547033564e-02	 8.39313556938356e-02	 2.24936108998281e-02	-1.04158995934051e-01	 1.53836847179025e-03	 1.80551004501238e-01	-8.74529605079351e-02	-4.17817205299909e-02	-4.56086742007378e-02	-3.36225413626648e-02	-2.64845308288043e-02	 3.07633085112313e-03	-2.04987811115470e-02	7.154295777e+04
-4.74537486921460e-02	 8.39085028953513e-02	 2.25514111808036e-02	-1.04213420156143e-01	 1.55025415106054e-03	 1.80489297691213e-01	-8.74461772683106e-02	-4.19139586416275e-02	-4.54824604590018e-02	-3.38480029621437e-02	-2.79517686603334e-02	 5.44891454884907e-03	-2.01383791671319e-02	3.440645326e+04
-4.74307478744247e-02	 8.39169953687342e-02	 2.25299316518064e-02	-1.04193195225799e-01	 1.54583723840495e-03	 1.80512228950247e-01	-8.74486980310085e-02	-4.18648167982749e-02	-4.55293635480475e-02	-3.37642177472273e-02	-2.74065191041680e-02	 4.56722367341542e-03	-2.02723104194557e-02	4.820698523e+04
-4.74482063523972e-02	 8.39105492648921e-02	 2.25462354149335e-02	-1.04208546701785e-01	 1.54918983974453e-03	 1.80494823269911e-01	-8.74467846781631e-02	-4.19021172890703e-02	-4.54937623552173e-02	-3.38278138483210e-02	-2.78203838406822e-02	 5.23645991161541e-03	-2.01706516068492e-02	3.773186707e+04
-4.73962164528581e-02	 8.39297452275471e-02	 2.24976841604415e-02	-1.04162831279425e-01	 1.53920607099252e-03	 1.80546655942466e-01	-8.74524824842590e-02	-4.17910395208787e-02	-4.55997797549944e-02	-3.36384299334036e-02	-2.65879289778935e-02	 3.24352989522656e-03	-2.04733831200423e-02	6.892590023e+04
-3.07554252416458e-03	 2.23229161511369e-02	 1.46570617389169e-02	 1.08911256587800e-02	 2.76693386345707e-02	-2.52653044653647e-02	-1.38097591046396e-02	-1.69338391173227e-02	 1.71272360888340e-02	 5.85566093979428e-03	 4.58687388322522e-03	-3.89175120611663e-02	 1.21496740667292e-02	3.949447200e+05
