Gene,E1.1,E1.2,E1.3,E18.1,E18.2,E18.3,E30.1,E30.2,E30.3
ASS1,24.338587,27.387835,23.597342,20.589636,27.38769,26.378633,29.37425,29.761318,28.746014
HFM1,3.046024,3.893545,3.698023,2.52607,2.705685,2.971117,3.473666,2.028764,2.168616
NAIP,9.105,12.020766,13.056054,10.807107,11.714918,11.940716,11.23195,10.754875,12.406878
MB,0.001184,0.000759,0.002598,0.001152,0.002278,0.002025,0.00486,0.056734,0.00173
PLEKHA2,5.956167,7.937075,8.259714,7.146751,8.554273,5.510174,6.417638,5.70603,5.873421
AXDND1,2.100712,2.142352,2.301369,3.702298,2.944391,2.099114,1.282891,1.47346,1.463632
MIR1224,69.316505,76.766312,78.867081,70.930481,80.721588,85.539169,60.65266,78.968262,74.290329
ZFAT-AS1,0.061713,0.010902,0.028316,0.009279,0,0.036893,0.02039,0.021262,0.023063
GAGE5,1.620584,2.070069,2.149068,2.214809,2.696725,1.792976,2.447372,2.089618,2.19098
CSTF1,0.409222,0.292843,0.222458,0.395028,0.410242,0.613597,0.358536,0.411296,0.453297
CFAP53,19.806334,19.094046,17.220564,18.495361,19.653111,19.298895,19.591618,19.345615,21.889992
PRSS54,0.13621,0.11915,0.139471,0.264763,0.033854,0.046853,0.414904,0.104411,0.743531
KRTAP16-1,2.635702,2.78005,2.538127,2.589741,2.799633,2.578572,2.426507,2.418538,1.766599
SATB2-AS1,0.068344,0.06507,0.166517,0,0.167436,0.121949,0.094352,0.069934,0.026724
SPG21,26.05555,24.541447,20.649132,21.895176,23.341068,22.3323,16.147907,23.204475,16.240593
SPINK5,57.73381,57.705383,55.411812,57.421749,54.818752,54.123207,51.347263,50.086689,52.978748
C1orf210,13.357363,12.693994,10.373384,9.778573,13.890978,13.079021,13.653357,13.596828,11.977591
LNP1,17.760681,11.398319,11.388908,15.582698,19.849438,14.279059,22.877089,12.382742,25.555954
KREMEN2,1.57785,0.958072,1.164794,1.396826,1.768852,1.758573,2.777795,2.174623,2.592494
COL11A1,1.211517,1.533768,1.322954,1.320632,1.311607,1.597577,1.7115,1.72914,1.581536
PHF8,3.593648,3.267245,3.830294,2.938891,3.584685,4.482572,3.953639,3.951936,3.636007
CT45A1,7.477149,8.303421,6.356251,11.164301,9.739202,7.203728,7.625664,7.807911,8.469241
ERAP1,1.086592,1.088616,0.940192,0.767033,1.043467,1.020988,1.060595,1.179894,0.733172
TEX38,0.06454,0.092132,0.267137,0.14087,0.120889,0.114521,0.033252,0.03292,0.073578
LINC01230,0.649866,0.955482,0.792884,0.631594,0.97206,1.501279,1.264243,1.424006,1.297557
C16orf90,34.530197,32.293125,31.443859,29.355844,35.967468,34.046169,35.558151,32.502197,33.060139
HPCA,0.234032,0.649081,0.249273,0.254237,0.548375,0.173959,0.413809,0.470519,0.174939
ZFAT,8.003479,8.037042,7.032083,7.590518,8.955537,8.731386,9.224503,9.798191,9.70983
ZNF625,7.991148,7.97136,10.581387,7.567242,7.695161,8.936365,7.456899,7.203892,6.248351
TAPBP,8.13131,7.897253,7.841462,6.104264,6.204982,5.755377,5.654379,3.926538,5.234997
EXOC6,0,0,0,0,0,0.011357,0,0,0
HEATR3,0.014755,0,0,0,0,0,0,0,0
TBC1D26,15.726214,16.359241,16.714676,14.435158,19.036705,19.610558,20.079315,20.892818,22.121149
OR1C1,5.792179,7.331573,7.427784,7.518237,9.458298,9.042478,7.719458,9.014449,8.116067
IGF2BP1,1.005772,1.46933,0.130543,1.164123,0.148405,0.118044,0.161522,1.381842,0.156485
ENPP7,16.852057,17.72061,18.761183,16.230347,15.884296,17.187235,16.688675,15.702637,17.350895
SBF2,4.406666,4.979708,4.81839,4.996274,5.272276,6.032844,4.417096,4.503833,5.884763
ZFP1,1.164135,1.953377,2.33236,0.864928,1.654128,0.577009,0.2744,0.532441,0.141433
HSF5,0,0,0,0,0,0,0,0,0
SYT2,0.087479,0.067499,0.075581,0,0,0.05183,0.537177,0.459991,0.398795
TTTY19,53.445171,52.697018,55.717812,54.050301,55.330788,51.36095,51.45385,48.237682,52.014194
CYP2D7,54.260715,50.59042,51.312225,54.268806,58.78059,54.703846,56.143333,52.283638,51.603035
SEC14L3,23.285538,25.565947,25.667984,23.259352,22.941454,23.517754,26.265736,24.923689,26.81217
TRPA1,2.828388,4.509461,4.940636,10.444468,15.827924,11.050861,5.58523,4.795703,3.736254
ZNF658,0.01924,0.574176,0.674794,0.615172,1.149981,0.039472,0.81893,0.70229,0.134653
ITGA3,0,0,0,0,0,0,0,0,0.008909
RAB19,23.174749,25.128456,38.123425,87.764252,114.383896,90.695602,22.513439,33.784149,26.259472
GFRA2,1.667925,0,1.415935,0.738312,0,0.840122,0.992023,0.664285,0.633939
FSCN2,0.814389,0.910822,0.873185,0.598548,0.742411,0.882042,0.92897,0.745687,0.772274
KDM5C,3.492697,3.558404,3.45946,2.978743,3.997321,3.680158,3.512764,3.936157,2.781959
DAG1,12.065082,8.854992,10.470747,9.228988,11.964732,6.539303,11.118547,3.261723,3.732194
CCDC144NL,6.855491,7.830859,8.744863,10.406807,8.895694,6.244743,6.449021,6.950225,6.626188
DUPD1,12.657205,13.225295,14.253601,14.529507,14.993592,15.737268,16.436245,13.134005,14.944546
OR5AR1,2.218035,1.831928,2.165951,2.018428,1.606133,1.658689,1.291214,1.370418,1.5371
XDH,17.746264,18.401407,18.788269,14.012601,15.308928,14.372351,12.704456,12.277454,11.103768
CLRN2,8.033152,8.031011,7.664774,9.023238,10.433587,7.070344,5.846984,5.799112,4.401798
TIA1,12.638659,13.142637,12.376184,8.293454,10.269149,11.829537,9.728966,9.429057,9.744227
DMXL1,4.54295,6.075959,5.569992,5.794171,4.204666,5.955887,5.455195,4.768161,4.900262
COL6A5,0.066788,0,0,0.074649,0.024425,0.018483,0,0,0
SPRR2D,8.033677,9.227262,8.257074,8.174954,10.589093,9.034066,9.170288,14.41656,10.762427
CNPY1,6.153258,6.160204,6.337996,6.269858,6.20333,6.717858,7.075572,7.35193,7.567016
ZC3H15,15.392689,16.03525,18.116611,16.781055,18.71104,17.056667,16.737972,16.102766,17.387146
LRRC26,31.457661,30.963312,31.88262,22.861105,30.665854,28.8158,34.229076,28.823046,29.077559
KLK8,25.983799,23.511324,25.518568,22.691082,24.709551,25.793537,32.879723,29.178608,28.714462
DDX5,34.22776,31.42959,35.466995,29.975248,33.260517,31.16527,37.333321,33.386009,31.677895
MIR572,23.888062,23.762724,24.742979,23.539682,26.070896,27.67252,28.81041,28.510195,26.811514
NNAT,79.106567,86.17952,81.252548,75.649803,83.293068,81.126122,83.863487,77.481636,80.607269
REXO1L2P,6.893012,6.474993,8.147716,4.344109,6.375839,4.053387,4.930539,5.549161,4.003815
OR4C45,50.123169,53.589417,41.564262,47.340431,50.669693,54.311646,52.447956,53.070545,41.742962
ONECUT2,7.540848,7.085302,8.061848,7.726367,8.998894,9.07896,9.350434,10.961424,9.7908
TVP23B,6.230134,6.325265,7.44545,19.372717,24.24699,15.358989,2.730225,4.966118,3.531897
ACTR8,2.547587,0.511466,4.132939,4.162493,4.560325,2.609128,0.522888,3.236498,1.521635
G6PD,5.207161,6.921163,4.868398,3.801044,6.621108,6.899326,5.858423,6.837669,6.243389
OR5K4,12.615689,11.999971,11.950932,11.055696,12.306661,10.486475,15.306483,14.032484,14.865501
TLR10,7.520141,7.789748,7.408981,7.596248,7.924819,7.772577,7.437142,7.472089,7.8985
TTC21B,3.518854,3.498304,3.888739,2.947817,3.285438,3.351221,4.252779,4.018253,3.91883
LRRC37B,0,0.055344,0,0,0.029363,0.014161,0.009919,0.017434,0.054075
LINC00264,7.463837,7.48936,7.423844,5.987597,9.595115,9.27386,10.041819,10.141548,9.290429
KIR3DL3,9.65507,10.880381,8.098248,8.914441,7.797111,8.306523,8.708241,7.652025,10.943383
PRKCQ-AS1,15.230572,17.62936,24.546576,13.63025,21.238787,18.674044,21.588627,19.327795,21.613199
LINC01554,0.534377,0.723741,0.668459,0.465893,0.662393,0.718198,1.015398,0.998871,1.078721
SEMA6D,0.043109,0.063677,0.133964,0.103173,0.152175,0.135041,0.055131,0.024164,0.033333
LOC100128239,15.745753,15.933209,16.600098,14.282422,15.203201,11.482951,18.687309,19.28894,15.436603
SP3,243.143982,240.280029,247.168777,223.91777,265.118896,266.149658,315.828735,313.993958,317.226746
DPP10-AS3,45.033974,42.108139,29.062475,24.451599,30.692747,29.834751,24.508245,16.820904,26.747141
SPDYA,0.018892,0,0.0082,0.003688,0.002061,0.002439,0,0,0.002265
DNAJC30,7.868586,8.26688,8.348644,6.603662,7.831866,7.87459,9.526954,9.825028,8.873731
CNOT6L,0.115089,0.137999,0.088542,0.124719,0.176031,0.214591,0.090687,0.03915,0.125766
S100A9,5.58113,6.289389,6.113183,7.755599,7.094086,6.998816,8.286585,8.184835,10.040979
PRDM16,17.045298,15.101407,17.601782,13.450453,15.985307,14.614182,14.784845,14.5739,13.992006
RANBP3,1.86502,2.210036,2.206916,2.750826,2.124909,1.819285,1.896135,2.242453,2.110707
DGKH,23.636381,23.608585,22.911043,21.764709,20.979261,20.966068,24.704447,23.581129,24.723516
GOLGA6L5P,0.064397,0.121366,0.27664,0.07971,0.07475,0.463659,0.213336,0.809183,0.324401
TTTY6,1.84012,1.634735,1.949352,1.682441,2.152287,2.2435,2.18861,1.999923,2.450411
MYRIP,463.578522,472.432587,479.730621,398.018158,446.317139,433.555847,519.646545,525.465149,474.530457
NCBP2,7.497367,6.700343,7.212313,7.190835,6.849345,7.613033,5.414762,6.481099,6.965082
PDE1B,0.115415,0.048769,0.048339,0.037405,0.03104,0.364075,0.089518,0.129643,0.480275
PRKDC,16.636339,19.760481,13.151517,10.03881,14.812338,19.241547,20.02356,14.86179,14.793917
BMX,1.975478,1.690069,1.632461,2.156871,2.677264,2.301985,2.815115,3.400018,2.634857
MAGEA3,66.467667,56.626724,60.177528,51.722134,56.00338,56.166805,63.77346,58.447987,58.388115
DCK,5.852417,5.599931,5.747675,6.474276,6.515553,6.728023,6.837664,8.882007,7.990882
MIR340,4.191795,3.763812,6.496325,5.056962,6.362883,4.702096,3.684999,3.353192,3.720805
PCNX4,18.573965,18.852385,16.343821,15.23798,17.983475,16.493858,32.434216,32.774387,30.097715
FGF12,12.998994,12.030255,12.693295,12.00739,11.80879,12.555002,12.670848,13.618171,11.562296
CR1,0.077005,0.295198,0.337273,0.171272,0.324601,0.169037,0.310963,0.170582,0.155792
RELT,11.637751,12.350003,11.267067,10.627107,13.17908,13.182866,15.636248,15.465672,15.018498
FLVCR1,0.101584,0.545436,0.136228,0.022838,0.037898,0.036381,0,0.023622,0.009368
CLEC18A,0.060242,0.04092,0.053772,0.132137,0.063943,0.052222,0.019187,0.081636,0.041682
MDH1B,47.16217,50.229298,50.375317,59.785,59.781631,56.870705,49.138359,45.950893,46.15485
LINC00304,10.011851,10.106488,5.568902,10.389374,11.473471,10.20887,11.110746,9.605271,11.391712
PURG,21.566965,22.78203,21.176075,24.173719,25.657877,24.50215,20.906824,21.934923,19.889019
MMP24,24.35582,24.349911,22.475275,25.783932,27.243774,26.445574,28.761738,28.287615,27.431374
SERF1B,0.098795,0.434919,0.345802,0.105521,0.026467,0.119711,0.093479,0.034753,0.021463
SLC16A14,26.422686,21.155815,26.983498,23.484386,23.832363,24.975622,23.965246,23.07148,22.115248
HDAC7,45.435223,44.195953,46.364357,54.152706,59.976036,55.700623,49.236492,49.272434,49.170216
TFCP2L1,6.108852,6.823776,6.43266,6.247529,7.118524,7.264241,7.196775,6.622493,6.512523
MSX2P1,66.819511,60.064995,64.127594,58.693367,62.924301,63.870335,52.483509,45.344753,40.615391
HNRNPCL1,0.128939,0.250908,0.114733,0.190534,0.155721,0.119481,0.147645,0.313404,0.191438
TMEM30B,12.149076,12.450183,12.005703,11.793571,13.864624,13.422736,11.622427,11.454999,11.56621
KRTAP6-3,11.383787,8.808176,9.29676,14.168836,14.376942,8.407023,12.499538,11.051552,11.326681
FAP,4.449697,5.658988,4.7113,3.483686,3.766752,6.484433,3.179887,3.908092,4.160262
CAMK1D,28.60437,27.632399,27.537815,32.268177,34.246738,33.423634,30.098421,28.164652,31.394651
LOC100131034,49.109562,46.519932,46.036381,45.798897,47.242851,47.365662,48.603626,49.323601,49.639481
CTBP2,0.211481,0.244269,0.175907,0.196962,0.150259,0.140088,0.225473,0.225613,0.294753
FOXP3,16.689611,16.239307,18.107805,14.888731,17.253916,17.828518,14.063229,15.683942,13.878194
CEP170P1,9.673069,9.866874,10.525219,11.871938,12.986437,12.757308,13.852461,12.753425,13.831848
RFX5,106.337036,111.180305,121.569939,98.219315,110.239174,116.695892,118.401314,117.579086,116.352608
STEAP3,6.63076,6.368103,11.289226,17.151709,14.197533,9.638927,3.997352,4.345676,3.93455
LINC01072,13.719825,13.261294,13.694081,10.818389,9.130015,13.611256,12.545463,11.170612,10.047009
SNORA78,0.395336,0.492364,0.429475,0.306762,0.448019,0.334936,0.240599,0.218616,0.101656
DIAPH3,0,0.067335,0.110504,0.024652,0.021985,0.039634,0.045141,0.039128,0.055698
KREMEN1,0,0,0,0,0,0,0,0.00809,0.002167
ZBTB2,0,0,0.006478,0,0,0,0,0,0.01119
DPF3,1.250925,1.691632,2.162373,1.473576,1.172074,1.321535,2.080741,2.550499,2.484235
SNX29P2,0.216476,0.133542,0.247719,0.223095,0.219131,0.328909,1.289637,0.345228,0.387658
PTENP1,5.236768,6.14753,5.565742,7.794342,8.608162,7.452873,6.324425,7.113859,6.910631
GATM,0.001936,0.151849,0.02739,0.024813,0.030294,0.036756,0.48233,0.017388,0.031609
SH2D7,0.588408,1.010848,1.4854,3.68616,3.500636,2.768207,0.658711,1.107579,0.79518
KCNRG,21.250853,22.394348,23.129866,21.908331,22.906626,23.132772,21.041758,20.552021,20.156979
DCUN1D1,8.150741,9.958966,8.743475,8.669014,10.087465,8.59665,9.944116,9.08927,8.599671
AHNAK,10.589682,9.97281,11.380464,10.255236,11.787721,10.382138,8.619746,11.894854,9.174176
CCDC137,5.313926,5.763231,6.050848,5.610067,5.887496,4.901814,4.835758,5.180199,4.83111
PGM5P2,92.707138,85.042625,86.107239,88.604271,100.87738,91.284256,85.565125,86.785683,84.607491
PIAS2,2.169345,2.061856,2.347572,2.271486,2.406453,2.288162,2.226286,2.548202,2.550352
FAM72A,7.954499,8.158756,8.50903,6.760668,8.004257,7.956551,9.308601,9.626812,8.209902
SLC6A6,3.699042,3.578406,3.269894,3.609184,4.358494,3.782599,3.513885,3.481812,3.753162
MAT2B,0.077896,0.092064,0.146359,0.069691,0.140014,0.123042,0.308469,0.176873,0.130274
RAMP3,0,0,0,0,0,0,0,0,0
CYCSP52,2.890744,2.911614,2.993603,3.147899,3.059063,2.913697,2.531683,2.481379,2.828434
DBIL5P,9.944587,17.907454,16.333721,10.208653,21.978764,18.952677,14.443838,20.694691,20.288254
HLX,0.065453,0.039976,0.05903,0.016614,0.055996,0.07216,0.064646,0.037524,0.083775
UBQLNL,0.121813,0.062466,0.031399,0.088732,0.054062,0.067676,0.019472,0.037707,0.055149
CKS2,0.089616,0.049676,0.14136,0.085176,0.810681,0.079717,1.515864,0.707672,0.13326
DSEL,0.008509,0.039703,0.043393,0.038704,0,0,0.010597,0,0
NTN5,15.43755,15.834448,17.438967,21.753717,19.493118,16.945005,14.486283,13.192103,14.324573
TMEM88B,4.379031,2.99455,4.147638,5.365236,4.942089,5.070437,4.317593,3.526489,0.686178
GABRB3,10.502712,9.479465,10.719269,8.777541,8.63074,8.90646,8.237357,7.241808,7.406102
MIR1204,15.555073,16.744064,15.711977,16.070406,18.173302,19.075846,19.627872,18.567085,16.22595
HHATL,0,0.018388,0.00972,0,0,0.01843,0,0,0
NRM,0,0,0,0,0,0,0,0,0
EIF4G1,0.045268,0,0.014878,0,0,0,0.021082,0.036364,0.024757
GRB10,0,0.027881,0,0,0,0,0,0,0
CGB5,8.154473,9.752992,10.146716,11.297792,9.058109,10.387039,19.866213,14.762215,10.975958
RRP7BP,1.314311,0.99209,0.357131,1.249319,1.227996,1.44559,2.200776,2.386171,1.75557
AFG3L1P,23.439468,22.333796,23.168636,20.07258,21.088751,20.987661,23.606266,20.25857,21.607113
MIR509-2,0,0.061955,0.12163,0.047512,0.050404,0.055121,0.054159,0.033978,0.06585
SEZ6L2,2.517147,3.541277,3.384581,5.520588,4.436129,5.053709,2.972562,1.258844,2.093974
PLCB3,9.053357,8.139303,10.905304,11.921567,9.531566,9.708447,9.204079,9.858292,8.550823
AR,37.167156,36.087669,37.442608,38.833111,40.696491,37.892776,43.640823,44.605373,41.479057
PAK5,1.231504,1.60317,1.52771,1.855895,1.696176,1.621646,1.659413,2.167078,2.208166
ZNF460,11.372046,10.348469,10.850643,11.736827,13.170977,11.592776,11.507461,9.290326,10.033002
AGAP6,30.9571,30.121283,32.28957,31.816753,35.660549,35.539413,36.476139,35.178059,35.070004
NUDT5,0.176787,0.441643,0.385613,0.598086,0.521916,0.677796,0.930439,0.56549,0.548856
NRG4,0.267354,0.109751,0.210475,0.2734,0.036,0.0631,0.069658,0.036396,0.094956
KCNQ3,6.157151,4.012879,5.680527,4.67711,6.609311,5.160791,7.060404,8.204472,9.108286
RAB3GAP2,4.398003,4.126547,4.543689,3.178527,3.291944,4.109907,4.069033,3.814565,3.315689
EIF5,7.407801,7.291078,7.510818,6.217647,7.169858,6.517816,7.044423,6.531519,6.603844
